brand,model,year,mileage,fuel_type,transmission,engine_size,horsepower,price
Tata,Nexon,2022,149783,Diesel,Automatic,3.3,428,300000
BMW,5 Series,2021,62098,Petrol,Automatic,1.0,352,9152000
Maruti,Dzire,2018,114101,Petrol,Manual,3.0,196,300000
Ford,Endeavour,2022,112471,Petrol,Automatic,2.2,174,515000
Tata,Nexon,2021,30581,CNG,Automatic,3.2,120,721000
Tata,Harrier,2024,106347,Diesel,Automatic,1.0,432,498000
Toyota,Camry,2022,122755,Petrol,Manual,3.9,169,520000
Honda,City,2019,19078,Diesel,Automatic,1.4,202,1171000
Mercedes,C-Class,2016,135150,Diesel,Automatic,3.6,257,3625000
Maruti,Brezza,2024,108511,Diesel,Automatic,2.4,82,335000
Mahindra,Thar,2020,82715,Petrol,Manual,3.6,201,499000
Maruti,Ertiga,2017,38380,Diesel,Automatic,2.5,161,466000
Hyundai,Creta,2014,12920,Petrol,Manual,2.2,172,668000
Toyota,Innova,2010,122340,Diesel,Automatic,2.3,83,300000
Maruti,Dzire,2017,124225,CNG,Automatic,2.3,196,300000
Maruti,Baleno,2024,36017,Diesel,Automatic,4.0,265,901000
Hyundai,i20,2011,136503,Diesel,Manual,3.3,179,300000
Audi,A6,2021,98397,Diesel,Manual,1.2,120,4311000
Ford,Endeavour,2018,111459,Diesel,Manual,2.2,107,300000
BMW,X5,2024,96475,Petrol,Automatic,2.4,89,6305000
Mahindra,Scorpio,2019,86619,Diesel,Manual,1.7,250,543000
Tata,Safari,2015,81635,Petrol,Automatic,2.1,283,383000
Toyota,Innova,2017,126891,CNG,Automatic,2.6,449,438000
Tata,Tiago,2014,101155,Petrol,Automatic,1.7,324,300000
Toyota,Camry,2012,43997,Diesel,Manual,2.4,330,482000
Honda,Civic,2011,71212,CNG,Automatic,2.5,257,364000
Mercedes,GLC,2016,32911,Petrol,Manual,3.8,87,8866000
Toyota,Swift,2015,134398,Petrol,Automatic,3.5,297,351000
Honda,City,2010,34089,CNG,Automatic,1.1,407,542000
Maruti,Swift,2010,89134,Diesel,Manual,3.0,169,300000
Honda,City,2015,15704,CNG,Automatic,3.3,324,951000
Tata,Tiago,2013,124044,Diesel,Automatic,2.3,161,300000
Audi,Q3,2022,113754,Petrol,Manual,2.9,292,3980000
Mahindra,XUV700,2024,45643,Diesel,Automatic,2.6,370,1059000
Mahindra,XUV700,2012,35537,Petrol,Manual,3.6,383,539000
BMW,X5,2019,145832,Petrol,Manual,2.7,379,2744000
Audi,A6,2023,88714,Diesel,Automatic,2.3,415,7379000
Tata,Safari,2020,46914,Petrol,Automatic,2.1,369,668000
Maruti,Ertiga,2013,131999,Petrol,Automatic,2.2,156,300000
Tata,Harrier,2020,124014,CNG,Automatic,1.6,391,317000
Mahindra,XUV300,2013,129891,Petrol,Automatic,2.7,252,300000
Audi,A6,2015,47384,Diesel,Manual,2.1,249,6091000
Toyota,Corolla,2020,44084,Petrol,Automatic,3.6,246,1284000
Honda,Accord,2013,137556,Petrol,Automatic,3.6,198,300000
Mercedes,GLC,2014,26014,Petrol,Manual,2.9,157,7501000
Tata,Harrier,2018,27727,Petrol,Automatic,2.2,204,857000
Toyota,Fortuner,2016,119847,Petrol,Manual,3.2,121,406000
Maruti,Ertiga,2010,26456,Petrol,Manual,2.1,275,300000
Honda,Swift,2014,46378,Diesel,Manual,2.8,146,605000
Mahindra,XUV700,2015,146321,Electric,Automatic,2.7,433,403000
Maruti,Dzire,2019,52828,Diesel,Automatic,1.5,185,466000
Tata,Tiago,2021,56479,Diesel,Automatic,3.8,316,629000
Hyundai,Venue,2015,28752,Diesel,Automatic,2.9,310,873000
BMW,5 Series,2021,19715,Diesel,Manual,1.9,193,10323000
Tata,Nexon,2011,40682,Petrol,Automatic,3.5,269,409000
Maruti,Baleno,2016,100373,CNG,Automatic,4.0,180,300000
Toyota,Corolla,2015,35169,Diesel,Automatic,2.6,213,878000
Audi,Q5,2023,88222,Petrol,Manual,3.1,285,6492000
Mahindra,Scorpio,2011,84520,Petrol,Manual,2.8,400,300000
Mercedes,E-Class,2022,124099,Diesel,Manual,1.4,196,3875000
BMW,X1,2013,41822,Electric,Automatic,3.9,175,10721000
Maruti,Baleno,2022,65099,CNG,Manual,1.1,209,389000
Hyundai,Verna,2012,52913,Petrol,Manual,4.0,332,402000
Tata,Tiago,2012,54936,Petrol,Manual,1.9,342,335000
Toyota,Innova,2013,64823,Diesel,Automatic,1.9,387,656000
Mercedes,S-Class,2011,42371,Petrol,Automatic,2.1,234,5739000
Audi,A4,2022,86373,Electric,Manual,1.4,325,9609000
BMW,X1,2016,116297,Petrol,Automatic,2.0,321,4017000
BMW,X1,2014,141743,Petrol,Manual,2.6,270,2078000
Audi,A4,2019,20749,Petrol,Manual,3.2,311,9978000
Maruti,Ertiga,2015,127360,Electric,Automatic,1.9,208,342000
Toyota,Corolla,2011,38671,CNG,Automatic,2.9,369,557000
Mercedes,GLC,2010,17099,Petrol,Automatic,1.3,166,7196000
Ford,EcoSport,2016,73530,Diesel,Automatic,1.3,96,579000
BMW,5 Series,2019,125053,Electric,Automatic,3.8,107,6507000
Mahindra,Scorpio,2014,114797,Diesel,Manual,2.3,190,300000
Toyota,Camry,2018,107661,Petrol,Manual,3.9,198,399000
Honda,City,2014,147050,Electric,Automatic,2.7,430,440000
Honda,Accord,2019,55838,Petrol,Automatic,1.3,394,958000
Mahindra,Scorpio,2011,102949,Petrol,Automatic,3.0,253,300000
BMW,3 Series,2019,134447,Petrol,Automatic,1.8,97,4029000
BMW,X1,2017,108605,Diesel,Automatic,3.0,282,4215000
Mercedes,S-Class,2018,53541,Diesel,Automatic,1.3,292,9564000
Honda,Accord,2016,30567,Petrol,Manual,3.3,432,812000
Mercedes,S-Class,2016,39725,CNG,Automatic,3.3,190,6928000
Mahindra,XUV300,2017,65147,Diesel,Automatic,1.3,303,735000
Honda,Accord,2018,144153,Diesel,Automatic,2.8,145,352000
Tata,Safari,2013,118777,Diesel,Manual,3.2,93,300000
BMW,X5,2013,127322,Diesel,Automatic,2.4,290,3183000
Maruti,Ertiga,2013,117539,Diesel,Manual,1.4,309,300000
Ford,Endeavour,2014,90073,Diesel,Manual,3.4,99,300000
Audi,Q5,2022,79122,Petrol,Automatic,2.7,333,7395000
Honda,Accord,2024,119458,Petrol,Manual,1.2,188,548000
Mahindra,Thar,2014,67775,Petrol,Manual,3.2,225,401000
Toyota,Fortuner,2021,37386,Diesel,Automatic,1.9,240,1343000
Maruti,Dzire,2024,94045,Diesel,Automatic,3.9,404,406000
Mahindra,Thar,2012,64220,Diesel,Automatic,2.8,277,460000
Hyundai,i20,2012,93369,CNG,Manual,2.1,399,300000
Toyota,Swift,2019,118899,Petrol,Manual,3.2,208,475000
Maruti,Swift,2015,27069,Diesel,Manual,3.3,231,423000
BMW,X1,2017,102573,Petrol,Manual,1.8,349,3501000
Mercedes,S-Class,2019,17896,Diesel,Manual,2.5,263,9362000
Honda,City,2020,113864,Petrol,Manual,3.3,149,499000
Honda,Accord,2013,75428,Petrol,Manual,1.8,392,413000
BMW,X1,2014,132788,Diesel,Automatic,3.9,240,2545000
Maruti,Baleno,2018,139350,Diesel,Automatic,3.9,140,300000
Mahindra,XUV700,2018,65718,Diesel,Automatic,1.2,277,770000
Mahindra,Scorpio,2014,93457,Diesel,Manual,1.3,223,314000
Audi,A6,2021,84071,Diesel,Manual,2.1,178,4660000
Toyota,Swift,2013,73870,Diesel,Automatic,1.1,311,638000
Mercedes,GLC,2021,10781,Petrol,Automatic,4.0,105,16441000
Honda,Civic,2017,23565,Petrol,Manual,2.2,306,817000
Maruti,Swift,2020,113850,Diesel,Automatic,1.6,153,300000
Tata,Safari,2014,148311,Diesel,Manual,3.7,183,300000
Maruti,Dzire,2011,47711,CNG,Automatic,1.8,119,300000
Toyota,Swift,2021,27071,Petrol,Manual,2.8,325,1351000
Tata,Safari,2020,90685,Petrol,Automatic,2.5,100,511000
Honda,Swift,2021,142197,Electric,Automatic,1.4,404,720000
Toyota,Innova,2018,102051,CNG,Manual,3.2,268,396000
Tata,Safari,2015,105665,Petrol,Automatic,4.0,443,300000
BMW,5 Series,2011,19346,CNG,Automatic,1.7,235,6344000
Toyota,Swift,2012,28099,CNG,Automatic,1.6,154,737000
Mercedes,C-Class,2014,42602,Diesel,Manual,3.0,145,5773000
Ford,Endeavour,2016,86229,CNG,Manual,3.5,422,300000
Hyundai,Venue,2019,97960,Petrol,Manual,1.2,392,381000
Maruti,Dzire,2021,63798,Diesel,Manual,3.7,194,474000
Audi,Q3,2020,143669,Petrol,Manual,1.4,226,3221000
Maruti,Swift,2018,71709,CNG,Manual,3.6,162,322000
Hyundai,Creta,2012,15075,Electric,Automatic,2.7,203,1247000
Hyundai,Verna,2013,145565,Petrol,Manual,1.2,365,300000
Toyota,Innova,2018,56733,Diesel,Manual,1.9,301,794000
Maruti,Dzire,2017,24849,Diesel,Automatic,3.7,206,647000
Toyota,Civic,2021,76314,Electric,Automatic,2.6,404,1380000
BMW,3 Series,2021,26288,Diesel,Automatic,1.1,114,13938000
Ford,EcoSport,2017,42174,Petrol,Automatic,2.4,94,766000
Mahindra,XUV300,2022,99906,Petrol,Automatic,2.9,390,614000
Maruti,Dzire,2022,18770,Diesel,Automatic,2.8,440,871000
Audi,A6,2015,12261,Petrol,Manual,2.4,297,8672000
Hyundai,Venue,2019,121032,Petrol,Automatic,1.6,370,396000
Maruti,Swift,2022,96716,Petrol,Manual,1.7,122,352000
Toyota,Corolla,2016,13828,Diesel,Automatic,1.9,312,1265000
BMW,X5,2018,140576,Petrol,Manual,2.5,120,2362000
Hyundai,Verna,2022,62781,Petrol,Manual,3.2,151,754000
BMW,X5,2021,144393,Diesel,Automatic,1.0,237,3610000
Audi,A4,2024,77411,Diesel,Manual,2.2,206,6940000
BMW,3 Series,2024,20651,Diesel,Automatic,2.2,322,14762000
Audi,A6,2024,96120,Diesel,Automatic,2.8,289,6117000
Tata,Nexon,2016,70058,Diesel,Automatic,3.5,429,415000
Toyota,Camry,2023,104475,Petrol,Automatic,2.7,436,686000
Toyota,Camry,2016,60583,Diesel,Automatic,3.1,225,794000
Audi,A4,2014,72493,Petrol,Automatic,3.5,235,5028000
Tata,Tiago,2016,92279,CNG,Manual,2.1,197,300000
Toyota,Corolla,2017,78803,Petrol,Automatic,3.8,354,624000
Honda,Swift,2012,130234,Petrol,Automatic,2.8,448,300000
BMW,5 Series,2011,101575,Electric,Automatic,3.1,444,5457000
Ford,Endeavour,2012,130906,Petrol,Manual,1.6,442,300000
Mahindra,XUV700,2011,130956,Petrol,Manual,3.7,204,300000
BMW,3 Series,2016,147416,Electric,Manual,3.9,188,4139000
Mercedes,GLC,2014,144308,Petrol,Automatic,1.5,388,3040000
Hyundai,Verna,2019,136060,Petrol,Manual,2.0,100,315000
Audi,Q5,2012,95376,Diesel,Manual,2.3,190,2895000
Maruti,Brezza,2022,65568,Diesel,Manual,2.0,231,451000
BMW,3 Series,2014,142379,CNG,Automatic,3.7,143,2256000
Honda,Accord,2015,11708,Petrol,Manual,3.2,84,993000
Maruti,Swift,2023,58651,Electric,Automatic,2.5,187,974000
Mercedes,S-Class,2016,116233,Petrol,Automatic,2.7,282,4752000
Hyundai,Creta,2010,123613,Petrol,Manual,2.8,318,300000
Hyundai,Venue,2024,58456,Petrol,Manual,2.9,304,859000
Hyundai,Verna,2015,31826,Petrol,Automatic,2.9,366,817000
Honda,CR-V,2015,128325,Diesel,Automatic,2.9,283,388000
Ford,Endeavour,2017,68653,Electric,Manual,4.0,343,838000
Ford,Endeavour,2023,76624,Petrol,Automatic,1.2,220,779000
BMW,5 Series,2018,21390,CNG,Automatic,1.3,102,9589000
Maruti,Brezza,2012,51869,Diesel,Automatic,1.2,140,300000
Mercedes,GLC,2011,90807,Petrol,Automatic,1.7,437,3139000
Honda,City,2022,20350,Petrol,Automatic,2.2,294,1772000
Audi,Q3,2015,111084,Diesel,Automatic,2.6,237,4112000
BMW,3 Series,2014,134184,Petrol,Automatic,2.5,153,2875000
Ford,Figo,2013,35235,Diesel,Manual,3.1,132,521000
Mercedes,E-Class,2024,94227,Petrol,Automatic,1.8,198,7241000
Honda,City,2017,56154,Petrol,Manual,1.3,320,671000
Mahindra,Thar,2015,36917,CNG,Automatic,2.4,404,737000
Tata,Nexon,2020,42402,Diesel,Automatic,2.7,417,868000
Hyundai,i20,2015,130779,Diesel,Manual,1.1,395,300000
Ford,Endeavour,2019,81854,Petrol,Automatic,3.0,103,606000
Toyota,Innova,2024,64040,Petrol,Manual,3.3,219,1115000
Toyota,Swift,2015,64575,Petrol,Automatic,2.4,225,763000
Hyundai,Venue,2018,48342,Diesel,Manual,3.5,110,670000
Tata,Nexon,2015,128581,CNG,Manual,3.0,252,300000
Tata,Safari,2017,132118,Petrol,Automatic,3.9,228,300000
Mercedes,E-Class,2010,84083,Petrol,Manual,3.0,128,2469000
Mahindra,Scorpio,2021,67134,Diesel,Manual,2.1,359,712000
Toyota,Innova,2023,41881,Petrol,Automatic,2.0,347,1488000
Ford,EcoSport,2020,106664,Electric,Automatic,3.0,419,731000
Toyota,Innova,2019,65243,Petrol,Manual,3.3,301,720000
BMW,X1,2016,40431,Petrol,Automatic,2.6,323,8611000
BMW,5 Series,2022,62870,CNG,Automatic,2.6,343,8520000
Tata,Safari,2017,21308,Petrol,Manual,1.2,236,597000
Audi,Q5,2019,122217,Electric,Manual,2.6,410,6029000
Mercedes,C-Class,2010,148731,Diesel,Automatic,3.5,380,1707000
BMW,5 Series,2017,17006,Diesel,Manual,2.0,131,8473000
Mercedes,GLC,2018,28990,Petrol,Automatic,3.1,449,9759000
Maruti,Swift,2020,45063,Petrol,Automatic,2.6,94,578000
Mahindra,Scorpio,2023,37076,Diesel,Automatic,3.3,157,1218000
Hyundai,Creta,2015,53527,Petrol,Manual,3.5,319,564000
Honda,Accord,2024,38328,Petrol,Automatic,4.0,399,1632000
Tata,Safari,2020,73761,Diesel,Manual,2.9,233,388000
Hyundai,i20,2020,44064,Electric,Automatic,3.9,326,1420000
Mahindra,XUV300,2023,46191,Petrol,Manual,2.4,160,789000
Ford,Figo,2015,87960,Diesel,Automatic,2.1,235,377000
BMW,5 Series,2019,73227,Petrol,Automatic,3.4,357,6987000
Tata,Nexon,2012,93596,Petrol,Automatic,1.5,326,303000
Hyundai,i20,2018,102764,Petrol,Automatic,1.3,173,513000
Toyota,Fortuner,2019,29149,Diesel,Automatic,2.2,260,1287000
Maruti,Swift,2011,73232,Petrol,Automatic,1.3,345,300000
Tata,Nexon,2014,44681,Electric,Manual,3.0,300,651000
Ford,Endeavour,2014,118946,Petrol,Manual,3.7,233,300000
BMW,X1,2013,84601,CNG,Automatic,1.6,120,3389000
Audi,A6,2021,73353,CNG,Automatic,2.2,359,6991000
Maruti,Baleno,2022,29991,Petrol,Automatic,2.5,260,727000
Audi,A4,2014,47044,Diesel,Manual,2.2,133,4858000
Tata,Harrier,2017,122230,Petrol,Manual,1.7,258,300000
Maruti,Dzire,2021,105742,Diesel,Manual,3.3,393,300000
BMW,X5,2020,75458,Petrol,Manual,3.7,307,6754000
Ford,Figo,2014,12708,Petrol,Manual,2.2,281,555000
Honda,Civic,2010,62874,Diesel,Automatic,2.1,127,413000
Tata,Tiago,2014,143872,Diesel,Automatic,2.1,167,300000
Audi,Q3,2015,101118,Diesel,Automatic,3.6,160,3413000
Tata,Nexon,2018,31644,Petrol,Automatic,1.5,416,821000
Audi,Q5,2010,115410,Petrol,Automatic,2.2,448,1898000
Maruti,Brezza,2017,14173,Diesel,Automatic,2.3,295,736000
Hyundai,Creta,2018,113591,Petrol,Automatic,3.2,92,466000
Hyundai,Verna,2021,14986,CNG,Automatic,3.0,230,1037000
Mercedes,S-Class,2018,137815,Petrol,Automatic,2.7,351,4413000
Hyundai,Creta,2013,47327,Petrol,Manual,1.1,132,422000
Toyota,Civic,2010,10887,Diesel,Manual,2.3,98,680000
Honda,Swift,2010,56220,Diesel,Automatic,1.3,294,458000
Mercedes,C-Class,2017,32931,Petrol,Manual,2.3,136,7073000
Mahindra,Scorpio,2011,105556,Electric,Automatic,1.6,298,443000
Audi,Q3,2012,55833,Diesel,Automatic,2.9,359,5140000
Mercedes,E-Class,2020,107718,Petrol,Manual,3.9,120,4088000
Hyundai,Venue,2012,36990,Diesel,Automatic,3.1,213,527000
Mahindra,Scorpio,2010,104767,Diesel,Automatic,1.7,337,300000
Toyota,Fortuner,2019,72260,CNG,Automatic,3.6,327,762000
Honda,Civic,2022,51243,Diesel,Manual,3.8,216,908000
Toyota,Corolla,2013,86872,Diesel,Manual,3.0,255,422000
Mahindra,Thar,2020,88513,Petrol,Automatic,3.7,446,575000
Tata,Tiago,2019,54816,Diesel,Automatic,3.1,247,680000
