Car_Name,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
94,9,60000,1,0,1,0
84,6,52132,1,0,1,0
94,9,45000,1,0,1,0
94,9,15001,2,0,1,0
74,14,12900,2,0,0,0
82,5,53000,1,0,1,0
82,5,4492,2,0,1,0
94,9,15141,2,0,1,0
75,4,11849,2,0,1,0
72,13,68000,1,0,1,0
94,9,60241,2,0,1,0
75,4,23709,2,0,1,0
94,9,32322,1,0,1,0
97,7,35866,2,0,1,1
97,7,34000,2,0,1,0
84,7,7000,2,0,1,0
94,9,49000,1,0,1,0
94,9,71000,1,0,1,0
84,6,35000,2,0,1,0
94,9,36000,2,0,1,0
83,4,30000,2,0,1,0
84,7,17000,2,0,1,0
72,13,35934,1,0,1,0
69,9,56701,2,0,1,0
66,6,31427,2,0,0,0
69,9,48000,1,0,1,0
69,9,54242,2,0,1,0
66,5,53675,2,0,1,0
69,13,49562,2,0,1,0
69,13,40324,2,0,1,0
69,13,25000,2,0,1,0
64,7,36054,2,0,1,0
69,13,29223,2,0,1,0
66,5,5600,2,0,1,0
64,5,40023,2,0,1,0
87,7,16002,2,0,1,0
64,7,40026,2,0,1,0
87,8,21200,2,0,1,0
64,7,35000,2,0,1,0
69,9,19434,1,0,1,0
66,5,19000,2,0,1,0
69,10,18828,2,0,1,0
69,10,69341,2,0,1,0
69,10,69562,2,0,1,0
69,10,27600,2,0,1,0
87,7,61203,2,0,1,0
66,6,16500,2,0,1,0
69,13,30753,2,0,0,0
69,13,24800,2,0,1,0
69,13,21780,2,0,1,0
87,8,4000,2,0,1,0
69,13,40126,2,0,1,0
66,5,14465,2,0,1,0
69,7,50456,2,0,1,0
69,14,63000,1,0,1,0
69,11,9010,2,0,1,0
66,5,9800,2,0,1,0
87,8,15059,2,0,0,0
87,7,28569,2,0,1,0
64,7,44000,2,0,0,0
69,13,34000,2,0,1,0
69,13,10980,2,0,1,0
64,6,19000,2,0,1,0
66,6,31427,2,0,1,0
87,8,12000,2,0,1,0
69,9,38000,2,0,1,0
64,6,33019,2,0,1,0
69,13,60076,1,0,1,0
69,11,33988,1,0,1,0
66,5,60000,2,0,1,0
69,11,87934,2,0,1,0
69,12,9000,1,0,1,0
66,5,5464,2,0,1,0
